Name,Symbol,Price,Day,Screen,Probability Up,Rating,Test Acc,Baseline,Model,Risk,Reward Risk,To Support,To Resistance,Buy Score
OCCL Limited,OCCLLTD.NS,159.41000366210938,-0.027454090046123647,HOLD,0.4632121011270803,Neutral,0.5822784810126582,0.5189873417721519,Global,7.3,2.642834727370227,0.12076980340116217,0.1356564682139676,57.217304128667095
VISA Chrome Limited,VISACHROME.NS,35.029998779296875,0.0037248495052808472,SELL,0.40929558189377846,Sell,0.6446540880503144,0.550314465408805,Global,9.4,6.173828718767472,0.02847907712553721,0.20097062977027735,57.128848310273625
Axita Cotton Limited,AXITA.NS,7.980000019073486,0.003773611387183573,HOLD,0.4591514600239648,Neutral,0.6282722513089005,0.5759162303664922,Global,6.6,4.053779472812143,0.019706548600083806,0.0030331086813015773,57.10192042512736
SIGMA ADVANCED SYSTEMS LIMITED,SIGMAADV.NS,832.4500122070312,0.04994644364065004,BUY,0.5872927765735588,Neutral,0.6613418530351438,0.5175718849840255,Global,8.9,1.999999999999998,0.3383440710723975,,56.831305495344594
Gayatri Highways Limited,GAYAHWS.NS,1.9199999570846558,0.01052630588288439,SELL,0.4366968493269501,Sell,0.6801242236024845,0.515527950310559,Global,8.5,2.6905866992429037,0.043478218616745945,0.12500006984919465,56.717496265548974
NACL Industries Limited,NACLIND.NS,157.6199951171875,-0.011724937686184433,HOLD,0.4536556201465818,Neutral,0.6655844155844156,0.6006493506493507,Global,7.8,3.144473461854284,0.04758737256601342,0.1578480247021623,56.28082763197766
Kritika Wires Limited,KRITIKA.NS,5.400000095367432,0.005586631368284634,SELL,0.44797852280965317,Sell,0.6892857142857143,0.6428571428571428,Global,6.9,3.5817962663937712,4.4151589939644964e-08,0.1925925821270309,56.13939901958962
United Polyfab Gujarat Limited,UNITEDPOLY.NS,43.279998779296875,0.00487576238589793,HOLD,0.4660750443148542,Neutral,0.627906976744186,0.5382059800664452,Global,8.9,1.9155770796705607,0.08689098721721944,0.08572095664994839,56.05715174391615
ORTIN GLOBAL LIMITED,ORTINGLOBE.NS,17.09000015258789,0.048466316104552654,BUY,0.5501335661421778,Neutral,0.6192052980132451,0.5629139072847682,Global,8.1,2.0,0.08507937476748517,0.021650025077895485,55.960478079536884
Kshitij Polyline Limited,KSHITIJPOL.NS,3.4800000190734863,0.014577245289547625,SELL,0.44168451922788776,Sell,0.7052980132450332,0.6059602649006622,Global,10.0,3.6075656022404123,0.2210526791305769,0.31321843293497786,55.852645587477085
Soma Textiles & Industries Limited,SOMATEX.NS,84.5199966430664,0.0004734053568136165,SELL,0.40034020698549105,Sell,0.6761904761904762,0.6063492063492064,Global,9.5,4.654005313795533,0.004925157194005214,0.38395305954561243,55.774607686708286
Setco Automotive Limited,SETCO.NS,16.739999771118164,-0.024475529139196706,HOLD,0.45880727213495626,Neutral,0.653968253968254,0.5428571428571429,Global,7.7,1.7191253045487467,0.10131578823536058,0.15591401708706387,55.68230845364614
Alpa Laboratories Limited,ALPA.NS,61.689998626708984,-0.014851490275293533,SELL,0.43597887356346776,Sell,0.6633986928104575,0.6045751633986929,Global,7.8,2.8127677826873763,0.011311452896868524,0.17498787848844,55.466407093306984
Global Vectra Helicorp Limited,GLOBALVECT.NS,132.1699981689453,-0.04466937233053925,HOLD,0.46063014407748337,Neutral,0.7064516129032258,0.6580645161290323,Global,7.0,11.605510557327207,0.02457362921663031,0.3349852624593723,55.285259206175276
Aqylon Nexus Limited,AQYLON.NS,21.239999771118164,-0.029250430264916583,SELL,0.416274636933274,Sell,0.7281553398058253,0.5825242718446602,Global,10.0,3.3812514938062375,,0.35357816901174455,55.2137318466637
NMDC Limited,NMDC.NS,82.4000015258789,-0.026004692528631246,SELL,0.43780763503141124,Sell,0.5714285714285714,0.5357142857142857,Global,4.7,4.534036684074404,0.012160688862822289,0.017649229933945243,54.97356818209698
Greenlam Industries Limited,GREENLAM.NS,234.6300048828125,-0.007445300187741366,HOLD,0.4513327342945297,Neutral,0.6072607260726073,0.5742574257425743,Global,4.8,6.575098175078566,0.010471484468234094,0.10067234044350726,54.9654337954505
Simbhaoli Sugars Limited,SIMBHALS.NS,7.070000171661377,-0.01941745710747278,SELL,0.4243009518604704,Sell,0.7346278317152104,0.6472491909385114,Global,8.7,2.0000000000000027,0.08518803650354889,0.03394621857014268,54.7927398312504
Viji Finance Limited,VIJIFIN.NS,15.619999885559082,-0.01946016407268858,HOLD,0.4691107183171206,Neutral,0.678125,0.546875,Global,6.1,2.0,3.2677594314902603,,54.655535915856035
California Software Company Limited,CALSOFT.NS,38.7400016784668,0.049864500718176163,BUY,0.5562366399788367,Neutral,0.6996805111821086,0.5463258785942492,Global,9.4,1.9999999999999978,0.8957671095165773,,54.61183199894182
Kavveri Defence & Wireless Technologies Limited,KAVDEFENCE.NS,69.33000183105469,-0.07275638700347842,SELL,0.429201521985433,Sell,0.6741573033707865,0.5917602996254682,Global,10.0,3.325177414455013,0.06497701161414193,0.024953097143806335,54.586800228211004
Indian Metals & Ferro Alloys Limited,IMFA.NS,1243.5,-0.02783205086813456,HOLD,0.4702546056296028,Neutral,0.5551948051948052,0.5194805194805194,Global,5.8,3.7636325443477365,0.020804809034864258,0.007946706314582164,54.480941032436775
Sandur Manganese & Iron Ores Limited,SANDUMA.NS,190.35000610351562,-0.032479410446445645,HOLD,0.4677164719464593,Neutral,0.6390977443609023,0.6015037593984962,Global,6.2,2.7545673546023246,8.802160348908572e-05,0.12135534596287001,54.37178901194341
